"","ensembl_gene_id_orig","ensembl_gene_id","symbol","chromosome","start","end","size"
"27","ENSG00000276582","ENSG00000276582","ABCB11","HSCHR2_1_CTG7_2",109565,123060,13495
"28","ENSG00000005471","ENSG00000005471","ABCB4","7",87401696,87480435,78739
"29","ENSG00000115657","ENSG00000115657","ABCB6","2",219209772,219218994,9222
"30","ENSG00000131269","ENSG00000131269","ABCB7","X",75051048,75156732,105684
"31","ENSG00000197150","ENSG00000197150","ABCB8","7",151028422,151047782,19360
"32","ENSG00000150967","ENSG00000150967","ABCB9","12",122920951,122981649,60698
"33","ENSG00000278183","ENSG00000278183","ABCC1","HSCHR16_1_CTG1",1607547,1800966,193419
"34","ENSG00000124574","ENSG00000124574","ABCC10","6",43427366,43450427,23061
"35","ENSG00000023839","ENSG00000023839","ABCC2","10",99782640,99852594,69954
"36","ENSG00000108846","ENSG00000108846","ABCC3","17",50634777,50692253,57476
"37","ENSG00000125257","ENSG00000125257","ABCC4","13",95019835,95301475,281640
"38","ENSG00000114770","ENSG00000114770","ABCC5","3",183919934,184017939,98005
"39","ENSG00000275331","ENSG00000275331","ABCC6","HSCHR16_1_CTG1",1806848,1881517,74669
"40","ENSG00000006071","ENSG00000006071","ABCC8","11",17392498,17476894,84396
"41","ENSG00000069431","ENSG00000069431","ABCC9","12",21797389,21942543,145154
"42","ENSG00000101986","ENSG00000101986","ABCD1","X",153724856,153744755,19899
"43","ENSG00000173208","ENSG00000173208","ABCD2","12",39550033,39619803,69770
"44","ENSG00000117528","ENSG00000117528","ABCD3","1",94418389,94518666,100277
"45","ENSG00000119688","ENSG00000119688","ABCD4","14",74285269,74303055,17786
"46","ENSG00000164163","ENSG00000164163","ABCE1","4",145098288,145129524,31236
"47","ENSG00000236342","ENSG00000236342","ABCF1","HSCHR6_MHC_MCF_CTG1",1915422,1941226,25804
"48","ENSG00000033050","ENSG00000033050","ABCF2","7",151211484,151227205,15721
"49","ENSG00000161204","ENSG00000161204","ABCF3","3",184186095,184194012,7917
"50","ENSG00000160179","ENSG00000160179","ABCG1","21",42199689,42297244,97555
"51","ENSG00000118777","ENSG00000118777","ABCG2","4",88090150,88231628,141478
"52","ENSG00000172350","ENSG00000172350","ABCG4","11",119149052,119162653,13601
"53","ENSG00000138075","ENSG00000138075","ABCG5","2",43812472,43838865,26393
"54","ENSG00000144827","ENSG00000144827","ABHD10","3",111979010,111993368,14358
"55","ENSG00000106077","ENSG00000106077","ABHD11","7",73736094,73738852,2758
"56","ENSG00000248487","ENSG00000248487","ABHD14A","3",51971426,51981196,9770
"57","ENSG00000129968","ENSG00000129968","ABHD17A","19",1876810,1885496,8686
"58","ENSG00000107362","ENSG00000107362","ABHD17B","9",71862452,71911193,48741
"59","ENSG00000164074","ENSG00000164074","ABHD18","4",127965315,128039953,74638
"60","ENSG00000140526","ENSG00000140526","ABHD2","15",89087459,89202355,114896
"61","ENSG00000158201","ENSG00000158201","ABHD3","18",21650901,21704780,53879
"62","ENSG00000100439","ENSG00000100439","ABHD4","14",22598290,22612963,14673
"63","ENSG00000011198","ENSG00000011198","ABHD5","3",43690108,43734371,44263
"64","ENSG00000163686","ENSG00000163686","ABHD6","3",58237532,58295693,58161
"65","ENSG00000127220","ENSG00000127220","ABHD8","19",17292131,17310236,18105
"66","ENSG00000136754","ENSG00000136754","ABI1","10",26746593,26861087,114494
"67","ENSG00000138443","ENSG00000138443","ABI2","2",203328280,203447728,119448
"68","ENSG00000154175","ENSG00000154175","ABI3BP","3",100749156,100993515,244359
"69","ENSG00000097007","ENSG00000097007","ABL1","9",130713043,130887675,174632
"70","ENSG00000143322","ENSG00000143322","ABL2","1",179099330,179229684,130354
"71","ENSG00000099204","ENSG00000099204","ABLIM1","10",114431112,114768061,336949
"72","ENSG00000173210","ENSG00000173210","ABLIM3","5",149141483,149260542,119059
"73","ENSG00000175164","ENSG00000175164","ABO","9",133233278,133276024,42746
"74","ENSG00000278741","ENSG00000278741","ABR","HSCHR17_2_CTG2",42766,231794,189028
"75","ENSG00000146109","ENSG00000146109","ABT1","6",26596953,26600739,3786
"76","ENSG00000166016","ENSG00000166016","ABTB2","11",34150987,34358010,207023
"77","ENSG00000060971","ENSG00000060971","ACAA1","3",38103129,38137242,34113
"78","ENSG00000167315","ENSG00000167315","ACAA2","18",49782164,49813953,31789
"79","ENSG00000278540","ENSG00000278540","ACACA","17",37084992,37406836,321844
"80","ENSG00000076555","ENSG00000076555","ACACB","12",109116587,109268226,151639
"81","ENSG00000111271","ENSG00000111271","ACAD10","12",111686053,111757107,71054
"82","ENSG00000151498","ENSG00000151498","ACAD8","11",134253548,134265855,12307
"83","ENSG00000115361","ENSG00000115361","ACADL","2",210187126,210225447,38321
"84","ENSG00000117054","ENSG00000117054","ACADM","1",75724431,75787575,63144
"85","ENSG00000122971","ENSG00000122971","ACADS","12",120725774,120740008,14234
"86","ENSG00000196177","ENSG00000196177","ACADSB","10",123008979,123058290,49311
"87","ENSG00000072778","ENSG00000072778","ACADVL","17",7217125,7225266,8141
"88","ENSG00000072818","ENSG00000072818","ACAP1","17",7336529,7351477,14948
"89","ENSG00000114331","ENSG00000114331","ACAP2","3",195274745,195443044,168299
"90","ENSG00000075239","ENSG00000075239","ACAT1","11",108116695,108147603,30908
"91","ENSG00000120437","ENSG00000120437","ACAT2","6",159762045,159779112,17067
"92","ENSG00000182827","ENSG00000182827","ACBD3","1",226144679,226186741,42062
"93","ENSG00000181513","ENSG00000181513","ACBD4","17",45132600,45144181,11581
"94","ENSG00000102977","ENSG00000102977","ACD","16",67657512,67660810,3298
"95","ENSG00000159640","ENSG00000159640","ACE","17",63477061,63498380,21319
"96","ENSG00000130234","ENSG00000130234","ACE2","X",15494566,15607236,112670
"97","ENSG00000087085","ENSG00000087085","ACHE","7",100889994,100896974,6980
"98","ENSG00000100813","ENSG00000100813","ACIN1","14",23058564,23095614,37050
"99","ENSG00000213088","ENSG00000213088","ACKR1","1",159204875,159206500,1625
"100","ENSG00000144648","ENSG00000144648","ACKR2","3",42804752,42887974,83222
"101","ENSG00000144476","ENSG00000144476","ACKR3","2",236567787,236582354,14567
"102","ENSG00000129048","ENSG00000129048","ACKR4","3",132597270,132618967,21697
"103","ENSG00000131473","ENSG00000131473","ACLY","17",41866917,41930542,63625
"104","ENSG00000122729","ENSG00000122729","ACO1","9",32384603,32454769,70166
"105","ENSG00000100412","ENSG00000100412","ACO2","22",41447830,41529273,81443
"106","ENSG00000162390","ENSG00000162390","ACOT11","1",54542257,54639192,96935
"107","ENSG00000112304","ENSG00000112304","ACOT13","6",24667035,24705065,38030
"108","ENSG00000119673","ENSG00000119673","ACOT2","14",73567620,73575658,8038
"109","ENSG00000097021","ENSG00000097021","ACOT7","1",6264269,6393767,129498
"110","ENSG00000101473","ENSG00000101473","ACOT8","20",45841721,45857405,15684
"111","ENSG00000123130","ENSG00000123130","ACOT9","X",23701055,23766475,65420
"112","ENSG00000161533","ENSG00000161533","ACOX1","17",75941507,75979177,37670
"113","ENSG00000168306","ENSG00000168306","ACOX2","3",58505136,58537283,32147
"114","ENSG00000087008","ENSG00000087008","ACOX3","4",8366282,8440723,74441
"115","ENSG00000143727","ENSG00000143727","ACP1","2",264140,278283,14143
"116","ENSG00000134575","ENSG00000134575","ACP2","11",47239302,47248906,9604
"117","ENSG00000102575","ENSG00000102575","ACP5","19",11574653,11579993,5340
"118","ENSG00000162836","ENSG00000162836","ACP6","1",147629652,147670524,40872
"119","ENSG00000100312","ENSG00000100312","ACR","22",50738196,50745339,7143
"120","ENSG00000134940","ENSG00000134940","ACRV1","11",125671522,125680874,9352
"121","ENSG00000103740","ENSG00000103740","ACSBG1","15",78167468,78245688,78220
"122","ENSG00000167107","ENSG00000167107","ACSF2","17",50426158,50474845,48687
"123","ENSG00000151726","ENSG00000151726","ACSL1","4",184755595,184826818,71223
"124","ENSG00000123983","ENSG00000123983","ACSL3","2",222860942,222944639,83697
"125","ENSG00000068366","ENSG00000068366","ACSL4","X",109624244,109733403,109159
"126","ENSG00000197142","ENSG00000197142","ACSL5","10",112374116,112428379,54263
"127","ENSG00000164398","ENSG00000164398","ACSL6","5",131949973,132012243,62270
"128","ENSG00000166743","ENSG00000166743","ACSM1","16",20623235,20698890,75655
"129","ENSG00000183747","ENSG00000183747","ACSM2A","16",20451461,20487669,36208
"130","ENSG00000066813","ENSG00000066813","ACSM2B","16",20536226,20576427,40201
"131","ENSG00000005187","ENSG00000005187","ACSM3","16",20610243,20797581,187338
"132","ENSG00000183549","ENSG00000183549","ACSM5","16",20409534,20441336,31802
"133","ENSG00000111058","ENSG00000111058","ACSS3","12",80936414,81261210,324796
"134","ENSG00000107796","ENSG00000107796","ACTA2","10",88934822,88991339,56517
"135","ENSG00000075624","ENSG00000075624","ACTB","7",5526409,5563902,37493
"136","ENSG00000159251","ENSG00000159251","ACTC1","15",34790107,34795589,5482
"137","ENSG00000184009","ENSG00000184009","ACTG1","17",81509413,81523847,14434
"138","ENSG00000163017","ENSG00000163017","ACTG2","2",73892314,73919865,27551
"139","ENSG00000136518","ENSG00000136518","ACTL6A","3",179562886,179588407,25521
"140","ENSG00000077080","ENSG00000077080","ACTL6B","7",100643097,100656448,13351
"141","ENSG00000117148","ENSG00000117148","ACTL8","1",17755333,17827063,71730
"142","ENSG00000072110","ENSG00000072110","ACTN1","14",68874128,68979440,105312
"143","ENSG00000077522","ENSG00000077522","ACTN2","1",236664141,236764631,100490
"144","ENSG00000130402","ENSG00000130402","ACTN4","19",38647649,38731589,83940
"145","ENSG00000131966","ENSG00000131966","ACTR10","14",58200080,58235636,35556
"146","ENSG00000138107","ENSG00000138107","ACTR1A","10",102461881,102502712,40831
"147","ENSG00000115073","ENSG00000115073","ACTR1B","2",97655939,97664044,8105
"148","ENSG00000138071","ENSG00000138071","ACTR2","2",65227788,65271253,43465
"149","ENSG00000115091","ENSG00000115091","ACTR3","2",113890063,113962596,72533
"150","ENSG00000133627","ENSG00000133627","ACTR3B","7",152759749,152855378,95629
"151","ENSG00000101442","ENSG00000101442","ACTR5","20",38748460,38772520,24060
"152","ENSG00000075089","ENSG00000075089","ACTR6","12",100199122,100241865,42743
"153","ENSG00000113812","ENSG00000113812","ACTR8","3",53867066,53882152,15086
"154","ENSG00000115170","ENSG00000115170","ACVR1","2",157736251,157876330,140079
"155","ENSG00000135503","ENSG00000135503","ACVR1B","12",51951699,51997078,45379
"156","ENSG00000121989","ENSG00000121989","ACVR2A","2",147844517,147930826,86309
"157","ENSG00000114739","ENSG00000114739","ACVR2B","3",38453890,38493142,39252
"158","ENSG00000139567","ENSG00000139567","ACVRL1","12",51906908,51923361,16453
"159","ENSG00000243989","ENSG00000243989","ACY1","3",51983340,51989197,5857
"160","ENSG00000119640","ENSG00000119640","ACYP1","14",75053237,75069483,16246
"161","ENSG00000170634","ENSG00000170634","ACYP2","2",53970838,54305300,334462
"162","ENSG00000196839","ENSG00000196839","ADA","20",44584896,44652252,67356
"163","ENSG00000137845","ENSG00000137845","ADAM10","15",58588809,58749791,160982
"164","ENSG00000073670","ENSG00000073670","ADAM11","17",44758988,44781846,22858
"165","ENSG00000148848","ENSG00000148848","ADAM12","10",126012381,126388477,376096
"166","ENSG00000143537","ENSG00000143537","ADAM15","1",155050566,155062775,12209
"167","ENSG00000151694","ENSG00000151694","ADAM17","2",9488486,9556732,68246
"168","ENSG00000278548","ENSG00000278548","ADAM18","HSCHR8_9_CTG1",335123,480684,145561
"169","ENSG00000135074","ENSG00000135074","ADAM19","5",157395534,157575775,180241
"170","ENSG00000276286","ENSG00000276286","ADAM2","HSCHR8_9_CTG1",494374,588925,94551
"171","ENSG00000134007","ENSG00000134007","ADAM20","14",70522358,70535015,12657
"172","ENSG00000139985","ENSG00000139985","ADAM21","14",70417107,70460427,43320
"173","ENSG00000008277","ENSG00000008277","ADAM22","7",87934143,88202889,268746
"174","ENSG00000114948","ENSG00000114948","ADAM23","2",206443532,206621127,177595
"175","ENSG00000042980","ENSG00000042980","ADAM28","8",24294069,24359014,64945
"176","ENSG00000197475","ENSG00000197475","ADAM3A","8",39455339,39522810,67471
"177","ENSG00000069206","ENSG00000069206","ADAM7","8",24440930,24526970,86040
"178","ENSG00000151651","ENSG00000151651","ADAM8","10",133262420,133276868,14448
"179","ENSG00000282230","ENSG00000282230","ADAM9","HSCHR8_9_CTG1",7546,10827,3281
"180","ENSG00000134028","ENSG00000134028","ADAMDEC1","8",24384285,24406013,21728
"181","ENSG00000154734","ENSG00000154734","ADAMTS1","21",26835755,26845409,9654
"182","ENSG00000151388","ENSG00000151388","ADAMTS12","5",33523535,33892019,368484
"183","ENSG00000281244","ENSG00000281244","ADAMTS13","HG2030_PATCH",240452,285496,45044
"184","ENSG00000087116","ENSG00000087116","ADAMTS2","5",179110853,179345461,234608
"185","ENSG00000156140","ENSG00000156140","ADAMTS3","4",72280969,72569221,288252
"186","ENSG00000154736","ENSG00000154736","ADAMTS5","21",26917922,26967088,49166
"187","ENSG00000136378","ENSG00000136378","ADAMTS7","15",78759206,78811464,52258
"188","ENSG00000134917","ENSG00000134917","ADAMTS8","11",130404923,130428609,23686
"189","ENSG00000163638","ENSG00000163638","ADAMTS9","3",64515654,64688000,172346
"190","ENSG00000197859","ENSG00000197859","ADAMTSL2","9",133532164,133575519,43355
"191","ENSG00000156218","ENSG00000156218","ADAMTSL3","15",83654088,84039842,385754
"192","ENSG00000143382","ENSG00000143382","ADAMTSL4","1",150549369,150560937,11568
"193","ENSG00000105963","ENSG00000105963","ADAP1","7",897900,955407,57507
"194","ENSG00000184060","ENSG00000184060","ADAP2","17",30906344,30959322,52978
"195","ENSG00000160710","ENSG00000160710","ADAR","1",154581695,154628013,46318
"196","ENSG00000197381","ENSG00000197381","ADARB1","21",45073853,45226560,152707
"197","ENSG00000185736","ENSG00000185736","ADARB2","10",1177313,1737525,560212
"198","ENSG00000065457","ENSG00000065457","ADAT1","16",75596868,75623300,26432
"199","ENSG00000133597","ENSG00000133597","ADCK2","7",140672945,140696261,23316
"200","ENSG00000164742","ENSG00000164742","ADCY1","7",45574140,45723116,148976
"201","ENSG00000143199","ENSG00000143199","ADCY10","1",167809386,167914215,104829
"202","ENSG00000078295","ENSG00000078295","ADCY2","5",7396138,7830081,433943
"203","ENSG00000138031","ENSG00000138031","ADCY3","2",24819169,24920237,101068
"204","ENSG00000174233","ENSG00000174233","ADCY6","12",48766194,48789089,22895
"205","ENSG00000121281","ENSG00000121281","ADCY7","16",50246137,50318135,71998
"206","ENSG00000155897","ENSG00000155897","ADCY8","8",130780301,131040909,260608
"207","ENSG00000162104","ENSG00000162104","ADCY9","16",3953387,4116442,163055
"208","ENSG00000141433","ENSG00000141433","ADCYAP1","18",904871,912172,7301
"209","ENSG00000078549","ENSG00000078549","ADCYAP1R1","7",31052308,31111474,59166
"210","ENSG00000087274","ENSG00000087274","ADD1","4",2843844,2930076,86232
"211","ENSG00000075340","ENSG00000075340","ADD2","2",70607618,70768225,160607
"212","ENSG00000148700","ENSG00000148700","ADD3","10",109996368,110135565,139197
"213","ENSG00000118492","ENSG00000118492","ADGB","6",146598967,146815462,216495
"214","ENSG00000020181","ENSG00000020181","ADGRA2","8",37784191,37844896,60705
"215","ENSG00000152990","ENSG00000152990","ADGRA3","4",22345071,22516066,170995
"216","ENSG00000181790","ENSG00000181790","ADGRB1","8",142449430,142545009,95579
"217","ENSG00000121753","ENSG00000121753","ADGRB2","1",31727117,31764893,37776
"218","ENSG00000135298","ENSG00000135298","ADGRB3","6",68635282,69390571,755289
"219","ENSG00000174837","ENSG00000174837","ADGRE1","19",6887566,6940459,52893
"220","ENSG00000127507","ENSG00000127507","ADGRE2","19",14732392,14778560,46168
"221","ENSG00000131355","ENSG00000131355","ADGRE3","19",14619117,14690027,70910
"222","ENSG00000123146","ENSG00000123146","ADGRE5","19",14380501,14408725,28224
"223","ENSG00000153292","ENSG00000153292","ADGRF1","6",46997708,47042350,44642
"224","ENSG00000069122","ENSG00000069122","ADGRF5","6",46852522,46954943,102421
"225","ENSG00000205336","ENSG00000205336","ADGRG1","16",57610652,57665580,54928
"226","ENSG00000173698","ENSG00000173698","ADGRG2","X",18989307,19122637,133330
"227","ENSG00000182885","ENSG00000182885","ADGRG3","16",57668277,57689378,21101
"228","ENSG00000112414","ENSG00000112414","ADGRG6","6",142301854,142446266,144412
"229","ENSG00000072071","ENSG00000072071","ADGRL1","19",14147743,14206187,58444
"230","ENSG00000117114","ENSG00000117114","ADGRL2","1",81306147,81993932,687785
"231","ENSG00000150471","ENSG00000150471","ADGRL3","4",61200326,62078335,878009
"232","ENSG00000162618","ENSG00000162618","ADGRL4","1",78889764,79282124,392360
"233","ENSG00000164199","ENSG00000164199","ADGRV1","5",90529344,91164437,635093
"234","ENSG00000187758","ENSG00000187758","ADH1A","4",99276369,99291003,14634
"235","ENSG00000196616","ENSG00000196616","ADH1B","4",99304971,99321401,16430
"236","ENSG00000248144","ENSG00000248144","ADH1C","4",99336497,99352746,16249
"237","ENSG00000197894","ENSG00000197894","ADH5","4",99070978,99088801,17823
"238","ENSG00000172955","ENSG00000172955","ADH6","4",99202638,99219537,16899
"239","ENSG00000196344","ENSG00000196344","ADH7","4",99412261,99435510,23249
"240","ENSG00000280830","ENSG00000280830","ADI1","HSCHR2_1_CTG1",106831,110463,3632
"241","ENSG00000181092","ENSG00000181092","ADIPOQ","3",186842704,186858463,15759
"242","ENSG00000159346","ENSG00000159346","ADIPOR1","1",202940826,202958572,17746
"243","ENSG00000006831","ENSG00000006831","ADIPOR2","12",1688574,1788674,100100
"244","ENSG00000148671","ENSG00000148671","ADIRF","10",86968432,86983934,15502
"245","ENSG00000156110","ENSG00000156110","ADK","10",74151202,74709963,558761
"246","ENSG00000148926","ENSG00000148926","ADM","11",10305073,10307397,2324
"247","ENSG00000101126","ENSG00000101126","ADNP","20",50888916,50931437,42521
"248","ENSG00000101544","ENSG00000101544","ADNP2","18",80109262,80147523,38261
"249","ENSG00000181915","ENSG00000181915","ADO","10",62804720,62808479,3759
"250","ENSG00000163485","ENSG00000163485","ADORA1","1",203090654,203167405,76751
"251","ENSG00000128271","ENSG00000128271","ADORA2A","22",24417879,24442357,24478
"252","ENSG00000170425","ENSG00000170425","ADORA2B","17",15945130,15975746,30616
"253","ENSG00000159322","ENSG00000159322","ADPGK","15",72751294,72785846,34552
"254","ENSG00000144843","ENSG00000144843","ADPRH","3",119579268,119589945,10677
"255","ENSG00000170222","ENSG00000170222","ADPRM","17",10697594,10711558,13964
"256","ENSG00000120907","ENSG00000120907","ADRA1A","8",26748150,26867278,119128
"257","ENSG00000170214","ENSG00000170214","ADRA1B","5",159865080,159973012,107932
"258","ENSG00000171873","ENSG00000171873","ADRA1D","20",4220630,4249287,28657
"259","ENSG00000150594","ENSG00000150594","ADRA2A","10",111077029,111080907,3878
"260","ENSG00000184160","ENSG00000184160","ADRA2C","4",3766348,3768526,2178
"261","ENSG00000043591","ENSG00000043591","ADRB1","10",114043866,114046904,3038
"262","ENSG00000169252","ENSG00000169252","ADRB2","5",148826611,148828623,2012
"263","ENSG00000188778","ENSG00000188778","ADRB3","8",37962990,37966599,3609
"264","ENSG00000130706","ENSG00000130706","ADRM1","20",62302093,62308862,6769
"265","ENSG00000239900","ENSG00000239900","ADSL","22",40346461,40390463,44002
"266","ENSG00000111863","ENSG00000111863","ADTRP","6",11712054,11807046,94992
"267","ENSG00000106624","ENSG00000106624","AEBP1","7",44104345,44114562,10217
"268","ENSG00000181026","ENSG00000181026","AEN","15",88621337,88632281,10944
"269","ENSG00000196526","ENSG00000196526","AFAP1","4",7758714,7939926,181212
"270","ENSG00000172493","ENSG00000172493","AFF1","4",86935002,87141039,206037
"271","ENSG00000155966","ENSG00000155966","AFF2","X",148500617,149000663,500046
"272","ENSG00000072364","ENSG00000072364","AFF4","5",132875395,132963634,88239
"273","ENSG00000141385","ENSG00000141385","AFG3L2","18",12328944,12377227,48283
"274","ENSG00000079557","ENSG00000079557","AFM","4",73481745,73504001,22256
"275","ENSG00000081051","ENSG00000081051","AFP","4",73431138,73456174,25036
"276","ENSG00000119844","ENSG00000119844","AFTPH","2",64524299,64593005,68706
"277","ENSG00000038002","ENSG00000038002","AGA","4",177430774,177442437,11663
"278","ENSG00000157985","ENSG00000157985","AGAP1","2",235494043,236131793,637750
"279","ENSG00000135439","ENSG00000135439","AGAP2","12",57723761,57742157,18396
"280","ENSG00000165923","ENSG00000165923","AGBL2","11",47659591,47715389,55798
"281","ENSG00000084693","ENSG00000084693","AGBL5","2",27042364,27070622,28258
"282","ENSG00000237405","ENSG00000237405","AGER","HSCHR6_MHC_SSTO_CTG1",3497175,3500531,3356
"283","ENSG00000173744","ENSG00000173744","AGFG1","2",227472152,227561217,89065
"284","ENSG00000106351","ENSG00000106351","AGFG2","7",100539203,100568220,29017
"285","ENSG00000164252","ENSG00000164252","AGGF1","5",77029251,77065234,35983
"286","ENSG00000262327","ENSG00000262327","AGK","HSCHR7_1_CTG6",493,21836,21343
"287","ENSG00000162688","ENSG00000162688","AGL","1",99850361,99924023,73662
"288","ENSG00000092847","ENSG00000092847","AGO1","1",35869808,35930532,60724
"289","ENSG00000123908","ENSG00000123908","AGO2","8",140520156,140635633,115477
"290","ENSG00000126070","ENSG00000126070","AGO3","1",35930718,36072500,141782
"291","ENSG00000134698","ENSG00000134698","AGO4","1",35808016,35857890,49874
"292","ENSG00000236873","ENSG00000236873","AGPAT1","HSCHR6_MHC_APD_CTG1",3500814,3510698,9884
"293","ENSG00000169692","ENSG00000169692","AGPAT2","9",136673143,136687457,14314
"294","ENSG00000160216","ENSG00000160216","AGPAT3","21",43865223,43987592,122369
"295","ENSG00000026652","ENSG00000026652","AGPAT4","6",161129967,161274061,144094
"296","ENSG00000155189","ENSG00000155189","AGPAT5","8",6708642,6761503,52861
"297","ENSG00000018510","ENSG00000018510","AGPS","2",177392746,177567024,174278
"298","ENSG00000106541","ENSG00000106541","AGR2","7",16791811,16833433,41622
"299","ENSG00000188157","ENSG00000188157","AGRN","1",1020120,1056118,35998
"300","ENSG00000159723","ENSG00000159723","AGRP","16",67482571,67483547,976
"301","ENSG00000135744","ENSG00000135744","AGT","1",230690776,230745576,54800
"302","ENSG00000135049","ENSG00000135049","AGTPBP1","9",85546539,85742029,195490
"303","ENSG00000144891","ENSG00000144891","AGTR1","3",148697784,148743008,45224
"304","ENSG00000180772","ENSG00000180772","AGTR2","X",116170744,116174974,4230
"305","ENSG00000172482","ENSG00000172482","AGXT","2",240868824,240880502,11678
"306","ENSG00000153207","ENSG00000153207","AHCTF1","1",246839098,246931948,92850
"307","ENSG00000101444","ENSG00000101444","AHCY","20",34280268,34311802,31534
"308","ENSG00000168710","ENSG00000168710","AHCYL1","1",109984765,110023742,38977
"309","ENSG00000158467","ENSG00000158467","AHCYL2","7",129225030,129430211,205181
"310","ENSG00000126705","ENSG00000126705","AHDC1","1",27534035,27604431,70396
"311","ENSG00000135541","ENSG00000135541","AHI1","6",135283407,135498434,215027
"312","ENSG00000124942","ENSG00000124942","AHNAK","11",62433542,62556235,122693
"313","ENSG00000106546","ENSG00000106546","AHR","7",16916359,17346152,429793
"314","ENSG00000100591","ENSG00000100591","AHSA1","14",77457870,77469472,11602
"315","ENSG00000145192","ENSG00000145192","AHSG","3",186613060,186621318,8258
"316","ENSG00000169877","ENSG00000169877","AHSP","16",31527900,31528803,903
"317","ENSG00000111732","ENSG00000111732","AICDA","12",8602155,8613242,11087
"318","ENSG00000186063","ENSG00000186063","AIDA","1",222668013,222713210,45197
"319","ENSG00000237727","ENSG00000237727","AIF1","HSCHR6_MHC_COX_CTG1",3092473,3094310,1837
"320","ENSG00000156709","ENSG00000156709","AIFM1","X",130124666,130165879,41213
"321","ENSG00000163568","ENSG00000163568","AIM2","1",159061599,159187843,126244
"322","ENSG00000164022","ENSG00000164022","AIMP1","4",106315544,106349456,33912
"323","ENSG00000106305","ENSG00000106305","AIMP2","7",6009255,6023834,14579
"324","ENSG00000110711","ENSG00000110711","AIP","11",67468174,67491154,22980
"325","ENSG00000160224","ENSG00000160224","AIRE","21",44285838,44298648,12810
"326","ENSG00000196581","ENSG00000196581","AJAP1","1",4654609,4792534,137925
"327","ENSG00000106992","ENSG00000106992","AK1","9",127866486,127877675,11189
"328","ENSG00000004455","ENSG00000004455","AK2","1",33007986,33080996,73010
"329","ENSG00000162433","ENSG00000162433","AK4","1",65147549,65232145,84596
"330","ENSG00000154027","ENSG00000154027","AK5","1",77282019,77559966,277947
"331","ENSG00000279247","ENSG00000279247","AK6","HSCHR5_2_CTG1_1",134177,153209,19032
"332","ENSG00000121057","ENSG00000121057","AKAP1","17",57085092,57121346,36254
"333","ENSG00000108599","ENSG00000108599","AKAP10","17",19904302,19978343,74041
"334","ENSG00000023516","ENSG00000023516","AKAP11","13",42272152,42323261,51109
"335","ENSG00000131016","ENSG00000131016","AKAP12","6",151239967,151358559,118592
"336","ENSG00000170776","ENSG00000170776","AKAP13","15",85380571,85749358,368787
"337","ENSG00000197976","ENSG00000197976","AKAP17A","X",1591604,1602520,10916
"338","ENSG00000111254","ENSG00000111254","AKAP3","12",4615508,4649051,33543
"339","ENSG00000179841","ENSG00000179841","AKAP5","14",64465499,64474503,9004
"340","ENSG00000151320","ENSG00000151320","AKAP6","14",32329298,32837684,508386
"341","ENSG00000118507","ENSG00000118507","AKAP7","6",131135467,131283535,148068
"342","ENSG00000105127","ENSG00000105127","AKAP8","19",15353385,15379815,26430
"343","ENSG00000011243","ENSG00000011243","AKAP8L","19",15380050,15419141,39091
